Month,Reengineer,Employee_Turnover,TRFF,CI
1,Prior,0,24.3902439,42.68292683
2,Prior,6.0606,19.35483871,25.80645161
3,Prior,12.1212,35.0877193,146.1988304
4,Prior,3.3333,18.40490798,110.4294479
5,Prior,12.9032,17.96407186,23.95209581
6,Prior,9.6774,41.17647059,47.05882353
7,Prior,11.7647,13.42281879,0
8,Prior,11.4286,31.25,25
9,Prior,23.0769,17.24137931,132.183908
10,Prior,15,16.57458564,16.57458564
11,Prior,10,5.917159763,88.75739645
12,Prior,26.087,21.16402116,31.74603175
13,Prior,11.1111,5.076142132,10.15228426
14,Post,26.6667,9.708737864,29.12621359
15,Post,17.9487,4.201680672,21.00840336
16,Post,12.8205,13.04347826,34.7826087
17,Post,15.7895,9.950248756,19.90049751
18,Post,0,9.950248756,9.950248756
19,Post,30.7692,8.510638298,25.53191489
20,Post,26.8293,9.259259259,23.14814815
